bin3c.031	d__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Gemmatimonadales	f__GWC2-71-9	g__Palsa-1233	s__
metabat.078	d__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae	g__	s__
metabat.016_sub	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Verrucomicrobiales	f__DEV007	g__	s__
metabat.014	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Pedosphaerales	f__GCA-2715965	g__	s__
bin3c.050_sub	d__Bacteria	p__Verrucomicrobiota_A	c__Chlamydiia	o__Parachlamydiales	f__Simkaniaceae	g__	s__
bin3c.003	d__Bacteria	p__Planctomycetota	c__Planctomycetes	o__Pirellulales	f__Pirellulaceae	g__Roseimaritima	s__
metabat.108	d__Bacteria	p__Planctomycetota	c__Planctomycetes	o__Pirellulales	f__Pirellulaceae	g__UBA11363	s__
concoct.046	d__Bacteria	p__Planctomycetota	c__Planctomycetes	o__Planctomycetales	f__Planctomycetaceae	g__Planctomicrobium	s__
maxbin.032	d__Bacteria	p__Planctomycetota	c__Phycisphaerae	o__Phycisphaerales	f__SM1A02	g__UBA6054	s__
bin3c.026	d__Bacteria	p__Planctomycetota	c__Phycisphaerae	o__Phycisphaerales	f__SM1A02	g__UBA1926	s__
metabat.002	d__Bacteria	p__UBP17	c__UBA6191	o__UBA6191	f__UBA6191	g__	s__
metabat.096_sub	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983	f__UBA2163	g__OLB19	s__
bin3c.056	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983	f__UBA2163	g__OLB19	s__
